Unnamed: 0.1,Unnamed: 0,path,label,landmarks
0,0,../Assets/Hand_Images/7/63.jpg,7,"[[0, 0], [0.25844512599113734, -0.9660259400510036], [0.05771321585543041, -0.9983332032521129], [-0.34371749156122133, -0.9390730993883606], [-0.5503788366443192, -0.8349150472796891], [0.32083924411984144, -0.9471336650297089], [0.05800443371468997, -0.9983163254547318], [-0.12758210086072921, -0.9918280130849113], [-0.28658764686216803, -0.9580540280516571], [-0.035147003286241624, -0.9993821532126722], [-0.20819010612693892, -0.9780883803168576], [-0.3555920664659034, -0.9346412585941777], [-0.4710881935355096, -0.8820861147934764], [-0.4147539991828945, -0.909933580082522], [-0.47295318702769046, -0.8810875568752237], [-0.5278819679708673, -0.8493177425976712], [-0.5785956171935943, -0.8156145607849113], [-0.6993187294973312, -0.7148099849430185], [-0.6533448431507215, -0.7570604440388885], [-0.648875439125831, -0.7608946474376462], [-0.6343977678485874, -0.7730067736758391]]"
1,1,../Assets/Hand_Images/7/77.jpg,7,"[[0, 0], [0.015602734724802307, -0.9998782699254483], [-0.07194146922814988, -0.9974088554877057], [-0.3679996842584136, -0.9298259150968572], [-0.5203213041850845, -0.8539705735042237], [0.5068025683225119, -0.862062153641897], [0.22367941334362385, -0.9746627724737681], [-0.024910625091123236, -0.9996896822302256], [-0.2231823698019848, -0.9747767076667201], [0.27558703781278293, -0.9612761229686171], [-0.008322573314351779, -0.999965366786984], [-0.2411958252601826, -0.9704764674514572], [-0.40916436903226666, -0.9124606945586352], [-0.07213581206265728, -0.997394818824552], [-0.2295643850069017, -0.9732934773933312], [-0.37878414795388815, -0.9254850453998957], [-0.4818242690332299, -0.8762678664487212], [-0.42510329633073746, -0.9051448433531183], [-0.457895531960334, -0.8890060077472833], [-0.5133548718599297, -0.8581764244825625], [-0.5388648863430968, -0.8423922092864115]]"
2,2,../Assets/Hand_Images/7/88.jpg,7,"[[0, 0], [0.10938789130385926, -0.9939991394544038], [0.04946325081783468, -0.9987759442530302], [-0.2014476951416642, -0.9794992731605834], [-0.3500396333249102, -0.9367348905115911], [0.599047120576185, -0.8007137736603397], [0.21328327884353973, -0.9769904006517919], [-0.07062001047336355, -0.9975032902806598], [-0.2280057443849953, -0.9736597868493101], [0.38388265621745354, -0.9233818853840658], [-0.03432250631955122, -0.999410809207077], [-0.2684126222833285, -0.9633040351825519], [-0.3909338356429088, -0.9204187830273366], [0.028304484420473966, -0.9995993478197608], [-0.26634235518094984, -0.9638784932950132], [-0.41369059546278636, -0.9104175367520362], [-0.4832929923336016, -0.875458670390118], [-0.3697773226108106, -0.9291204075268074], [-0.4599347477760703, -0.8879527170903655], [-0.5334722441592445, -0.8458175717681085], [-0.5553965594820222, -0.8315856310179564]]"
3,3,../Assets/Hand_Images/7/89.jpg,7,"[[0, 0], [0.29976026737598704, -0.9540145607393405], [0.1909179164799428, -0.9816060050585254], [-0.11150133619335284, -0.9937642839361339], [-0.2610449412422745, -0.9653266486800297], [0.681047514458471, -0.7322392252877051], [0.34160435689018903, -0.9398438505164782], [0.07175609228343229, -0.9974222091071622], [-0.09514949384725042, -0.9954629947017679], [0.4515863888152875, -0.8922274000706143], [0.0486034227918559, -0.9988181552679728], [-0.18818106531714845, -0.9821343526504421], [-0.31433441259857836, -0.9493123179735459], [0.06520507691161744, -0.9978718845347584], [-0.24430874143216044, -0.9696974986354423], [-0.37715167621931656, -0.9261515065716622], [-0.4375656207125315, -0.8991864809762528], [-0.3813930370744523, -0.9244129765808815], [-0.4438530681790972, -0.8960995780983281], [-0.5031914082711209, -0.8641749861238325], [-0.5079280385503737, -0.8613995052554709]]"
4,4,../Assets/Hand_Images/7/76.jpg,7,"[[0, 0], [0.1850859695642182, -0.9827223330475773], [-0.00948073163590658, -0.9999550568538809], [-0.39027472106489236, -0.920698453402481], [-0.5489493005853725, -0.8358556486540187], [0.5598995811775924, -0.8285604739529617], [0.2524581662416288, -0.9676078101678975], [0.009361381344598815, -0.9999561813096217], [-0.19635525093787567, -0.9805328222089886], [0.291275664325604, -0.9566391625747286], [0.0012329135801687752, -0.9999992399617631], [-0.21373629417784124, -0.9768913944503367], [-0.4068579677577761, -0.9134914307600331], [-0.08171928619591844, -0.9966553859101096], [-0.24154060205674346, -0.970390713866361], [-0.38689577411856185, -0.9221234515883429], [-0.5045596591522885, -0.8633768298698584], [-0.43652195168024055, -0.8996936065690773], [-0.4531022121945326, -0.8914585718385464], [-0.5103900622807063, -0.8599430122543568], [-0.5396291683418388, -0.8419028213960891]]"
5,5,../Assets/Hand_Images/7/62.jpg,7,"[[0, 0], [0.2646892871718761, -0.9643337499312383], [-0.021774460565941917, -0.9997629083273005], [-0.3956401035298309, -0.9184056339542483], [-0.5656467929398632, -0.8246476251326064], [0.2791280243601797, -0.9602538966423323], [-0.00028325203045100457, -0.9999999598841428], [-0.16479598722686814, -0.9863276750623609], [-0.2906970626625924, -0.9568151429400251], [-0.09843842018157638, -0.9951431441919075], [-0.26049148249265747, -0.9654761455099642], [-0.3704256291612519, -0.9288621282302831], [-0.46558754671484576, -0.8850018284410781], [-0.4594403111477813, -0.8882086469363095], [-0.5001738168263599, -0.8659250273328234], [-0.5484589526661074, -0.8361774795104187], [-0.6015634241581796, -0.7988250413670607], [-0.7148081325761133, -0.6993206228927111], [-0.6641094883876149, -0.7476353305145099], [-0.6682986245079934, -0.7438931028586863], [-0.6654268225689666, -0.7464630893793539]]"
6,6,../Assets/Hand_Images/7/74.jpg,7,"[[0, 0], [0.0625842142707517, -0.998039686647837], [-0.05594068733167477, -0.9984340937191897], [-0.36983040984393, -0.9290992777710414], [-0.537060313903154, -0.8435438454699589], [0.48431839729782183, -0.8748918161915045], [0.19762121536013114, -0.980278458010572], [-0.05196687398336576, -0.9986488091458362], [-0.246788388540445, -0.9690693944613101], [0.21091420919286757, -0.9775045761327911], [-0.05912750881202254, -0.9982504383678898], [-0.27887177765826543, -0.9603283457368729], [-0.4375648314636266, -0.8991868650431946], [-0.17021261944178537, -0.9854073595131944], [-0.30130933923293995, -0.9535264454072625], [-0.4270308773436645, -0.9042370429235357], [-0.5152762716363585, -0.8570241326173572], [-0.5069703607052133, -0.8619634872582631], [-0.5185354194736865, -0.855056149472798], [-0.5560692248967926, -0.8311359799230691], [-0.5678177553205543, -0.8231542970444407]]"
7,7,../Assets/Hand_Images/7/60.jpg,7,"[[0, 0], [0.30984604453527265, -0.9507867419594395], [0.0318285284170352, -0.9994933440392717], [-0.34297440630243264, -0.9393447485462906], [-0.5219621167992882, -0.8529686680215202], [0.25648447528936275, -0.966548350542041], [0.006423638435757558, -0.9999793682217882], [-0.13277040246578464, -0.9911468207228804], [-0.24583024451503943, -0.9693128962732704], [-0.11227882688824921, -0.9936767407122895], [-0.26694171123158095, -0.9637126764781893], [-0.3536951899909455, -0.935360739275104], [-0.4343881957988306, -0.900725760345865], [-0.47459684370771904, -0.8802032923948142], [-0.5128390894578196, -0.858484751363747], [-0.5448641298765584, -0.8385243466792487], [-0.5863215085873794, -0.8100784459346019], [-0.733557090477781, -0.6796278356643234], [-0.6750126297648961, -0.7378061735021465], [-0.6613281357766548, -0.7500967249829681], [-0.6427903069850279, -0.7660421798087189]]"
8,8,../Assets/Hand_Images/7/48.jpg,7,"[[0, 0], [0.5304863568737871, -0.8476934735921806], [0.15788531993990054, -0.9874574551581831], [-0.27351685142539756, -0.9618672112024285], [-0.5372015311742492, -0.8434539198462725], [-0.10568434759272718, -0.9943997278126637], [-0.21537586151397387, -0.9765312274971618], [-0.2886879989685766, -0.9574232289074247], [-0.34374067990374324, -0.9390646117170598], [-0.4348427043167019, -0.9005064255753744], [-0.45968558193327225, -0.8880817337174933], [-0.4646287648417913, -0.8855055679562898], [-0.47506894003469197, -0.8799485793012648], [-0.6638913954720908, -0.7478290011881861], [-0.6359177439277821, -0.771756841860051], [-0.6007323193227447, -0.799450236425705], [-0.5959113152872769, -0.8030502501790205], [-0.8245354826325478, -0.5658102490057169], [-0.7832683631614707, -0.6216837389463797], [-0.7419273454367094, -0.670480286133185], [-0.7044155577483342, -0.7097878006856017]]"
9,9,../Assets/Hand_Images/7/49.jpg,7,"[[0, 0], [0.5933913526090981, -0.8049140964405735], [0.21713173599014438, -0.9761423099250981], [-0.23157059480313721, -0.972818102022429], [-0.5241598239404534, -0.8516199146137394], [-0.07545234226659674, -0.9971494090889711], [-0.18939187521343037, -0.9819015824425279], [-0.28648419298383876, -0.9580849686590427], [-0.3631450542812014, -0.9317326169835974], [-0.41690685196869837, -0.9089492157329526], [-0.4428158288195234, -0.8966125929000097], [-0.43327953135529623, -0.9012595895237593], [-0.420641319458628, -0.9072270280167498], [-0.6532971431560514, -0.7571016066183863], [-0.6328871857003525, -0.774244024953559], [-0.5884752099794154, -0.8085152609813144], [-0.5654787353963336, -0.824762874900758], [-0.818459694913951, -0.5745639457896415], [-0.7773797401920773, -0.6290315886653852], [-0.7430299296031182, -0.669258189127324], [-0.7126727433177866, -0.7014966578194797]]"
10,10,../Assets/Hand_Images/7/61.jpg,7,"[[0, 0], [0.33597080041615607, -0.9418724017974661], [0.07477959391941134, -0.9972000864085643], [-0.33730682187279626, -0.9413947673096944], [-0.5672544420734592, -0.8235425902452941], [0.29683702810205836, -0.9549281537097635], [0.0780495464804355, -0.9969494813149754], [-0.09392142560634402, -0.9955796129954008], [-0.24546335715439446, -0.9694058697441925], [-0.07071643351703404, -0.9974964591569391], [-0.20614314222997446, -0.978521846926042], [-0.311773555790743, -0.9501564344409801], [-0.40017785453213367, -0.9164374963640776], [-0.4483323677438519, -0.8938669297122428], [-0.48252001159763724, -0.8758849458734954], [-0.5067700065906128, -0.8620812957141283], [-0.5476929406289871, -0.8366794145819371], [-0.7233694326327084, -0.6904611965437547], [-0.6682053831140732, -0.7439768584958639], [-0.6511339102165378, -0.7589628653406713], [-0.6357909144766912, -0.7718613302069826]]"
11,11,../Assets/Hand_Images/7/75.jpg,7,"[[0, 0], [0.019122658897305578, -0.9998171452404171], [-0.07286702575518543, -0.9973416649060608], [-0.37776529428391525, -0.9259013891525311], [-0.5375780861990956, -0.8432139712069041], [0.4852061301091787, -0.8743998006086658], [0.2046603396578396, -0.9788330528599541], [-0.046712345178144675, -0.9989083825896937], [-0.24216173908304905, -0.9702358950916387], [0.23084160500421097, -0.9729913429209325], [-0.04652008097720736, -0.9989173549728096], [-0.27404716022914777, -0.9617162543964513], [-0.43382684767202856, -0.9009962631659193], [-0.12483110399131081, -0.9921780059426385], [-0.26414416104789334, -0.9644832099027462], [-0.40409762340388633, -0.9147158634020354], [-0.500035387585998, -0.8660049717881074], [-0.46470958052030115, -0.8854631589019646], [-0.48378789534431565, -0.8751852788514655], [-0.5330756523605016, -0.8460675793696539], [-0.5532255328680942, -0.8330315178808141]]"
12,12,../Assets/Hand_Images/7/59.jpg,7,"[[0, 0], [0.33949257773317837, -0.9406087335678326], [0.04689596771995387, -0.9988997788625288], [-0.34865182040796505, -0.9372523182826554], [-0.5358750360089525, -0.8442973088802332], [0.25074376923486036, -0.9680534913887223], [0.006551109495586291, -0.9999785412519494], [-0.12988587724160822, -0.9915289501034137], [-0.24556644576419606, -0.969379760834081], [-0.12171852359839215, -0.992564658353816], [-0.26057027930416665, -0.9654548821894002], [-0.34302209067908085, -0.9393273366117653], [-0.4285396269951796, -0.9035229870317812], [-0.47496025334397485, -0.8800072486880021], [-0.5034348564455644, -0.8640331853092413], [-0.5308465992367183, -0.8474679274632233], [-0.5744801258171938, -0.8185185306644324], [-0.7291938278366372, -0.684307212767009], [-0.6687162061847509, -0.7435177439616849], [-0.6537813707805465, -0.7566835000317567], [-0.6366365872570092, -0.7711639616616872]]"
13,13,../Assets/Hand_Images/7/71.jpg,7,"[[0, 0], [0.002078808480801433, -0.9999978392753158], [-0.10755006871360298, -0.9941996694425618], [-0.4055543530460897, -0.9140709309049094], [-0.5517481450230877, -0.8340107819828121], [0.43601336237284366, -0.8999401912529117], [0.1515320717290736, -0.9884523414092836], [-0.0994782157070519, -0.9950397402112848], [-0.28198226607270405, -0.9594196170709157], [0.1489562421081476, -0.9888437884403273], [-0.11106658198108665, -0.9938129674979285], [-0.3317051113090467, -0.9433831242562339], [-0.4787502008848475, -0.8779511633073438], [-0.23574861514281212, -0.9718140719593672], [-0.3601169038458773, -0.9329071848605621], [-0.4842836180020211, -0.8749110682434372], [-0.5602886713909243, -0.8282974131982984], [-0.5671915903695155, -0.8235858788335918], [-0.5604641394283272, -0.8281786935286761], [-0.5931634988268261, -0.8050820229389786], [-0.594263044267296, -0.8042707468372612]]"
14,14,../Assets/Hand_Images/7/65.jpg,7,"[[0, 0], [0.2112796123129452, -0.977425662350284], [0.0038120829000081835, -0.9999927339855842], [-0.357862750908735, -0.9337741972832794], [-0.5389252691986294, -0.8423535802851347], [0.32617009325429835, -0.9453110970820571], [0.049049965761033085, -0.9987963260138883], [-0.142089578639235, -0.9898538031659648], [-0.2778480559250654, -0.9606250349739287], [-0.017602967478849253, -0.9998450557641112], [-0.22061642048514654, -0.9753606486896634], [-0.36693365951767315, -0.9302471120691365], [-0.47547925587022, -0.8797269333361927], [-0.36977353584705464, -0.9291219145984917], [-0.45934965107973363, -0.8882555364606105], [-0.535486279156706, -0.8445439271197837], [-0.5956207920951772, -0.8032657542954968], [-0.642890143539057, -0.7659583953063838], [-0.6214466105205345, -0.7834565146021438], [-0.6387793959255791, -0.7693899423185568], [-0.6465380807477971, -0.7628817143849727]]"
15,15,../Assets/Hand_Images/7/64.jpg,7,"[[0, 0], [0.2899031395603236, -0.9570559908767446], [0.05564545941101489, -0.9984505910894826], [-0.34592871976604883, -0.9382607957497864], [-0.5520851648822416, -0.8337877252136471], [0.33687954401590287, -0.9415477538731837], [0.06746187575921578, -0.9977218526819227], [-0.1204423925339154, -0.9927203181564818], [-0.26354154885173975, -0.9646480456771921], [-0.01343475621053733, -0.9999097495902135], [-0.21424064707074159, -0.9767809094892825], [-0.35293307052972367, -0.9356485706324043], [-0.4616868824459694, -0.8870429654629598], [-0.38702551194962437, -0.922069006691002], [-0.4625482283340944, -0.8865941216052531], [-0.5314969026367097, -0.8470602354541169], [-0.5946211468114815, -0.8040060271941987], [-0.6710924427682973, -0.7413736799072919], [-0.6411967372259829, -0.7673765335027869], [-0.6451851215166012, -0.7640262815987473], [-0.643479647808896, -0.7654632210993153]]"
16,16,../Assets/Hand_Images/7/70.jpg,7,"[[0, 0], [0.04662528777323491, -0.9989124498874078], [-0.08600902756945367, -0.9962943576958353], [-0.4058296161232165, -0.9139487527631309], [-0.5731437835826446, -0.8194548208050098], [0.4326107876216463, -0.9015807819787303], [0.14377975889337524, -0.9896097114178716], [-0.10579562416194527, -0.9943878950933506], [-0.2822131308152449, -0.9593517336177891], [0.12730123778784838, -0.9918641010025928], [-0.1296668515728739, -0.9915576168852612], [-0.3395756030947887, -0.9405787631999836], [-0.481528242005576, -0.8764305746327085], [-0.2600242965392027, -0.9656020739462468], [-0.3719912077290844, -0.9282362529939547], [-0.49569152986570225, -0.8684986512478874], [-0.5726041272963577, -0.8198320031586817], [-0.5711431326290743, -0.8208504870258941], [-0.566414616795785, -0.824120429233546], [-0.5981251079462164, -0.8014027422241122], [-0.6043161958021127, -0.7967445861072809]]"
