,Unnamed: 0,path,label,landmarks
0,0,Hand_Images/1/63.jpg,1,"[[0.7918168306350708, 0.7815876007080078], [0.5839449763298035, 0.7213780879974365], [0.4293332099914551, 0.5827925801277161], [0.31035321950912476, 0.4725973904132843], [0.24853959679603577, 0.37289172410964966], [0.7375969290733337, 0.4366193115711212], [0.536004900932312, 0.32950013875961304], [0.3620274066925049, 0.2944580018520355], [0.2412797510623932, 0.2881469428539276], [0.7643897533416748, 0.4483526647090912], [0.5431126952171326, 0.36049437522888184], [0.362041175365448, 0.3494122326374054], [0.2492367923259735, 0.3620624840259552], [0.7523307204246521, 0.4705721139907837], [0.5334916710853577, 0.40233638882637024], [0.3786269426345825, 0.39562317728996277], [0.2894189953804016, 0.40206795930862427], [0.7271759510040283, 0.4876178801059723], [0.5708699822425842, 0.4506855010986328], [0.47410643100738525, 0.457706093788147], [0.4263491630554199, 0.470018208026886]]"
1,1,Hand_Images/1/189.jpg,1,"[[0.5782292485237122, 0.8176587224006653], [0.5858098268508911, 0.6253576874732971], [0.5336464643478394, 0.47127866744995117], [0.4013490676879883, 0.36522531509399414], [0.22690781950950623, 0.3010824918746948], [0.5834173560142517, 0.434192955493927], [0.42896443605422974, 0.3343948721885681], [0.2898133397102356, 0.2910674810409546], [0.17935019731521606, 0.2778201699256897], [0.4559984803199768, 0.4842379689216614], [0.3061559498310089, 0.3821977972984314], [0.19001317024230957, 0.324236661195755], [0.10669678449630737, 0.27752262353897095], [0.3515496253967285, 0.5346846580505371], [0.20918825268745422, 0.44330793619155884], [0.1254884898662567, 0.38190922141075134], [0.0484660267829895, 0.33317142724990845], [0.2503276467323303, 0.5923435091972351], [0.14930632710456848, 0.5165693759918213], [0.08769750595092773, 0.4648793339729309], [0.03338891267776489, 0.4186915457248688]]"
2,2,Hand_Images/1/77.jpg,1,"[[0.8111778497695923, 0.8097538948059082], [0.734363317489624, 0.6162250638008118], [0.6713181734085083, 0.4711521863937378], [0.5824880599975586, 0.36264029145240784], [0.45169371366500854, 0.27468928694725037], [0.8181331157684326, 0.4111372232437134], [0.6826971769332886, 0.30559778213500977], [0.5340074300765991, 0.2592408061027527], [0.42123788595199585, 0.2532319724559784], [0.7109944820404053, 0.4714053273200989], [0.577590823173523, 0.36154690384864807], [0.4421903192996979, 0.3047262132167816], [0.3479330241680145, 0.2597144842147827], [0.6193236112594604, 0.5290276408195496], [0.4896620213985443, 0.44052866101264954], [0.38136252760887146, 0.38818398118019104], [0.29143771529197693, 0.34565961360931396], [0.5261974334716797, 0.5875437259674072], [0.4216392934322357, 0.5330045819282532], [0.34526288509368896, 0.504237949848175], [0.28666651248931885, 0.46844083070755005]]"
3,3,Hand_Images/1/162.jpg,1,"[[0.5877158045768738, 0.821674108505249], [0.3976813554763794, 0.6724929213523865], [0.26228728890419006, 0.5085226893424988], [0.13377726078033447, 0.3870801329612732], [0.041564345359802246, 0.28449344635009766], [0.5753751397132874, 0.39088213443756104], [0.3317517936229706, 0.27453529834747314], [0.14936357736587524, 0.27012625336647034], [0.019190073013305664, 0.27832216024398804], [0.5304147005081177, 0.4313453733921051], [0.3032102584838867, 0.33749130368232727], [0.13003534078598022, 0.34294742345809937], [0.0053771138191223145, 0.3673495650291443], [0.47517433762550354, 0.4835410416126251], [0.2738170027732849, 0.40721768140792847], [0.12785792350769043, 0.41238895058631897], [0.028698444366455078, 0.42858803272247314], [0.42328566312789917, 0.528724730014801], [0.2705674469470978, 0.48140960931777954], [0.16064155101776123, 0.48464903235435486], [0.08985966444015503, 0.4929772913455963]]"
4,4,Hand_Images/1/176.jpg,1,"[[0.5575546026229858, 0.8343425393104553], [0.33270496129989624, 0.6918873190879822], [0.17153219878673553, 0.5263744592666626], [0.04405394196510315, 0.3934072256088257], [-0.01055908203125, 0.2913653254508972], [0.5145220160484314, 0.39597275853157043], [0.27479806542396545, 0.2838001251220703], [0.08954960107803345, 0.30060166120529175], [-0.015855491161346436, 0.3295985162258148], [0.47955799102783203, 0.43969789147377014], [0.24516375362873077, 0.3565616011619568], [0.08450841903686523, 0.3815384805202484], [-0.014424443244934082, 0.422300785779953], [0.427881121635437, 0.4926634132862091], [0.2207668572664261, 0.4337122142314911], [0.08653941750526428, 0.4543714225292206], [-0.005232959985733032, 0.48075804114341736], [0.3754997253417969, 0.536266565322876], [0.21478891372680664, 0.5037352442741394], [0.1043267548084259, 0.5181807279586792], [0.03366270661354065, 0.5308853983879089]]"
5,5,Hand_Images/1/88.jpg,1,"[[0.8525659441947937, 0.8016921281814575], [0.9043372869491577, 0.6411895155906677], [0.8641985654830933, 0.5010935664176941], [0.7843473553657532, 0.38609951734542847], [0.6773028373718262, 0.3083912134170532], [0.7981916666030884, 0.4315921366214752], [0.7909471392631531, 0.3269542455673218], [0.7213847637176514, 0.2717505693435669], [0.648780345916748, 0.2349115014076233], [0.662003755569458, 0.4491778016090393], [0.595609188079834, 0.3260037899017334], [0.5220698714256287, 0.2534273564815521], [0.47009843587875366, 0.18089532852172852], [0.5382975935935974, 0.4865054190158844], [0.43062883615493774, 0.3784486651420593], [0.3585081398487091, 0.3127591013908386], [0.31462129950523376, 0.24837395548820496], [0.42509782314300537, 0.5464463233947754], [0.3021470010280609, 0.47604960203170776], [0.2266702651977539, 0.42935091257095337], [0.1778719574213028, 0.37877964973449707]]"
6,6,Hand_Images/1/200.jpg,1,"[[0.6466789841651917, 0.8132820725440979], [0.7330598831176758, 0.6244416236877441], [0.6944369077682495, 0.47132575511932373], [0.6095629334449768, 0.34556400775909424], [0.4413979649543762, 0.28296321630477905], [0.5808050632476807, 0.46026915311813354], [0.5220456123352051, 0.36516594886779785], [0.44615083932876587, 0.3194704055786133], [0.3641418516635895, 0.29711297154426575], [0.45522481203079224, 0.48584431409835815], [0.35663652420043945, 0.3737390637397766], [0.26905837655067444, 0.3106011748313904], [0.1991816759109497, 0.25069594383239746], [0.3433612287044525, 0.5199950337409973], [0.23686882853507996, 0.40998855233192444], [0.16896486282348633, 0.3453575670719147], [0.10933351516723633, 0.287649929523468], [0.24873247742652893, 0.5701075792312622], [0.1689138114452362, 0.48389962315559387], [0.12180602550506592, 0.43033909797668457], [0.07915133237838745, 0.3794623017311096]]"
7,7,Hand_Images/1/201.jpg,1,"[[0.6373287439346313, 0.8023092746734619], [0.7495402097702026, 0.6175417900085449], [0.7215554714202881, 0.46717870235443115], [0.6290553212165833, 0.3413541316986084], [0.4606933891773224, 0.28550583124160767], [0.5900050401687622, 0.4615718722343445], [0.5319430232048035, 0.3659723401069641], [0.4616584777832031, 0.31712019443511963], [0.39035341143608093, 0.2852497100830078], [0.46050095558166504, 0.4861527681350708], [0.35761430859565735, 0.37715405225753784], [0.27292606234550476, 0.3111715614795685], [0.2024085819721222, 0.24420204758644104], [0.34869539737701416, 0.5208367705345154], [0.24502816796302795, 0.4073600769042969], [0.17895913124084473, 0.34082692861557007], [0.11959001421928406, 0.28380805253982544], [0.2509203553199768, 0.5710719227790833], [0.17328572273254395, 0.4823658764362335], [0.12271353602409363, 0.4238114356994629], [0.08162111043930054, 0.3705581724643707]]"
8,8,Hand_Images/1/177.jpg,1,"[[0.4995940923690796, 0.7843549251556396], [0.3296138048171997, 0.65695720911026], [0.19395843148231506, 0.49620935320854187], [0.08793187141418457, 0.3720741868019104], [0.03386884927749634, 0.28375333547592163], [0.5051726698875427, 0.3896239399909973], [0.26743072271347046, 0.28253012895584106], [0.10668450593948364, 0.32217347621917725], [0.03462490439414978, 0.37491893768310547], [0.4662318527698517, 0.4323066473007202], [0.23127904534339905, 0.3438466787338257], [0.0980650782585144, 0.3989090323448181], [0.05794638395309448, 0.46632739901542664], [0.40931686758995056, 0.47368115186691284], [0.189924418926239, 0.40065452456474304], [0.1012604832649231, 0.46302980184555054], [0.09023258090019226, 0.5290980339050293], [0.35483646392822266, 0.5017815828323364], [0.2032884955406189, 0.46349823474884033], [0.12005171179771423, 0.5068756341934204], [0.1051023006439209, 0.5483829379081726]]"
9,9,Hand_Images/1/89.jpg,1,"[[0.846479058265686, 0.7854307889938354], [0.9150593280792236, 0.6196263432502747], [0.8916599750518799, 0.46616077423095703], [0.8359230756759644, 0.34447717666625977], [0.728620171546936, 0.2646385133266449], [0.7692714929580688, 0.4278060793876648], [0.7475142478942871, 0.32797688245773315], [0.712065577507019, 0.27268272638320923], [0.6730439066886902, 0.23150724172592163], [0.635671854019165, 0.44058677554130554], [0.5622419714927673, 0.32465100288391113], [0.5029059052467346, 0.2535194754600525], [0.46527737379074097, 0.18158569931983948], [0.5195634961128235, 0.47520095109939575], [0.4102973937988281, 0.3682219982147217], [0.3445283770561218, 0.3024246096611023], [0.30619755387306213, 0.2399110347032547], [0.4193631112575531, 0.5338348746299744], [0.2963818907737732, 0.45926058292388916], [0.22056415677070618, 0.4107448160648346], [0.16989880800247192, 0.36129769682884216]]"
10,10,Hand_Images/1/163.jpg,1,"[[0.5643097162246704, 0.8129035234451294], [0.39782458543777466, 0.681971549987793], [0.25735828280448914, 0.5303292870521545], [0.12609577178955078, 0.41705238819122314], [0.0407865047454834, 0.31421345472335815], [0.5749490857124329, 0.3924557864665985], [0.3400484025478363, 0.268579363822937], [0.16069921851158142, 0.27778160572052], [0.03629648685455322, 0.30480265617370605], [0.5038853883743286, 0.43277376890182495], [0.3107873499393463, 0.3278113305568695], [0.13444030284881592, 0.31623348593711853], [0.007598578929901123, 0.32682645320892334], [0.43712663650512695, 0.4840627908706665], [0.26419568061828613, 0.3935675024986267], [0.12365561723709106, 0.3930780589580536], [0.02519315481185913, 0.40154340863227844], [0.36501598358154297, 0.5253159403800964], [0.2392212152481079, 0.4617539048194885], [0.13057100772857666, 0.45850417017936707], [0.056371212005615234, 0.4575878083705902]]"
11,11,Hand_Images/1/188.jpg,1,"[[0.6112468838691711, 0.8507872223854065], [0.5866978168487549, 0.6353834271430969], [0.5155978202819824, 0.47725534439086914], [0.365286260843277, 0.35442161560058594], [0.18082010746002197, 0.28443214297294617], [0.5904839038848877, 0.4459441006183624], [0.4175666570663452, 0.32976990938186646], [0.26125994324684143, 0.2867111563682556], [0.14588752388954163, 0.2718026041984558], [0.46541544795036316, 0.502917468547821], [0.29447993636131287, 0.39595699310302734], [0.15111154317855835, 0.3332327604293823], [0.04832521080970764, 0.2871377170085907], [0.3606733977794647, 0.5581824779510498], [0.2145719826221466, 0.4621098041534424], [0.10885182023048401, 0.40077143907546997], [0.01287582516670227, 0.3547216057777405], [0.26266244053840637, 0.6101452708244324], [0.15940198302268982, 0.5423151850700378], [0.0922875702381134, 0.49976202845573425], [0.03643357753753662, 0.46052098274230957]]"
12,12,Hand_Images/1/76.jpg,1,"[[0.8431408405303955, 0.8247349262237549], [0.7476183772087097, 0.6221731305122375], [0.6661410927772522, 0.4778590500354767], [0.559556245803833, 0.36478665471076965], [0.42025887966156006, 0.2734633684158325], [0.831662654876709, 0.41166502237319946], [0.6799166202545166, 0.3052251935005188], [0.5291352868080139, 0.2572498321533203], [0.4197554588317871, 0.24874743819236755], [0.726732611656189, 0.472382128238678], [0.5795864462852478, 0.36518657207489014], [0.4388081729412079, 0.31431442499160767], [0.33934640884399414, 0.2737009823322296], [0.6329889297485352, 0.5290538668632507], [0.49441784620285034, 0.4386182427406311], [0.3839213252067566, 0.3947750926017761], [0.291978120803833, 0.3600998520851135], [0.5398658514022827, 0.5830562114715576], [0.42454594373703003, 0.52812260389328], [0.35145193338394165, 0.5050318241119385], [0.2995322346687317, 0.4761938452720642]]"
13,13,Hand_Images/1/62.jpg,1,"[[0.8121737241744995, 0.8272217512130737], [0.5832337141036987, 0.7207092046737671], [0.43529200553894043, 0.5738511681556702], [0.3107607364654541, 0.4625762104988098], [0.22508686780929565, 0.37577831745147705], [0.7496020197868347, 0.43508070707321167], [0.5210139751434326, 0.31792423129081726], [0.36450275778770447, 0.305391788482666], [0.24176853895187378, 0.29914045333862305], [0.7826370000839233, 0.4531671702861786], [0.563904881477356, 0.345548152923584], [0.3944195508956909, 0.3226460814476013], [0.2560650408267975, 0.3285531997680664], [0.7714806199073792, 0.489191472530365], [0.5717682838439941, 0.40570756793022156], [0.4256810247898102, 0.3989890515804291], [0.3057996928691864, 0.40711963176727295], [0.7411344051361084, 0.5206291675567627], [0.6004042625427246, 0.47514939308166504], [0.483726441860199, 0.4742065668106079], [0.3840833008289337, 0.483172744512558]]"
